trial_id,testbed,group,attack_id,template_id,attacker_goal_selected,monitor_decision,relation_decision,gateway_decision,service_effect,reject_reason,statement_digest,evidence_class
cloud-A1-076,cloud,G1,A1,cloud-A1-template-00,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,4fab4254f3dd228480be2bfbfb35d7c7012eeb99dab6371a47d224a33dc62d90,executed_reference_runtime
cloud-A1-077,cloud,G1,A1,cloud-A1-template-01,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,e7aa0965b50a8d05750f6e9fd7589b5f7abae83027b31e3f91a3b1081e0c94f5,executed_reference_runtime
cloud-A1-078,cloud,G1,A1,cloud-A1-template-02,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,c9c66808f6ad4ea2a194cc7fa7259b89a87badafa8cfbd5a055a9e0cf9ed5521,executed_reference_runtime
cloud-A1-079,cloud,G1,A1,cloud-A1-template-03,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,a7a4e83d1b008d82c1817ebac9e6645c3cc192502e00e966f56e71c337ddbe91,executed_reference_runtime
cloud-A1-080,cloud,G1,A1,cloud-A1-template-04,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,105239b2b158c4c84fc03557c6b8729c980bf2793ea0357d58db1427f3a5429d,executed_reference_runtime
cloud-A1-081,cloud,G1,A1,cloud-A1-template-05,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,36fb464bdb0563eaf8175c02f3e00ad35f8018c96fab3fca229d2b51618d35e1,executed_reference_runtime
cloud-A1-082,cloud,G1,A1,cloud-A1-template-06,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,a2081316ae440cb7ec2d61d4f5c771b27b34f6a40d7742d20d6b7a821546ba7a,executed_reference_runtime
cloud-A1-083,cloud,G1,A1,cloud-A1-template-07,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,007e79330791629562ea8b887710009dbadd0c561bd01e2b2eca0c79b30db43d,executed_reference_runtime
cloud-A1-084,cloud,G1,A1,cloud-A1-template-08,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,ac36203c8bb9ebdfe8d335f175351d4f847ab064389f401206b0f8826cd44112,executed_reference_runtime
cloud-A1-085,cloud,G1,A1,cloud-A1-template-09,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,c2a8ceb887255124c591e4df4cc4841102d7f81fb73f47690d00e85138ab0c95,executed_reference_runtime
cloud-A1-086,cloud,G1,A1,cloud-A1-template-10,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,866cfc5a2066b28a4d3b9bdaf84e491d639c8a088ba421b9bf9d29c99f748f48,executed_reference_runtime
cloud-A1-087,cloud,G1,A1,cloud-A1-template-11,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,41c13c17736fe9e863312764eb835ba270168d2dfcd46f2813f90f8cb74bf5e3,executed_reference_runtime
cloud-A1-088,cloud,G1,A1,cloud-A1-template-12,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,a59b0c73a9c0cabf905bf3cec7f0c01a199a1dd5e6511402defcfb50e5779068,executed_reference_runtime
cloud-A1-089,cloud,G1,A1,cloud-A1-template-13,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,ac56ec0f28fd3442efc43c39d3c7462b2ed8b3909a0d218bd279f36a8e93d30f,executed_reference_runtime
cloud-A1-090,cloud,G1,A1,cloud-A1-template-14,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e1c4fd5bb26efd0141b21fda2c620ea8454071af28b91d6aa1416246f3c22bb3,executed_reference_runtime
cloud-A1-091,cloud,G1,A1,cloud-A1-template-15,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,e0c7367758b9fa821d0c2e463e8eb49402f0f53fa1d1ecf72b39d62bb24f757c,executed_reference_runtime
cloud-A1-092,cloud,G1,A1,cloud-A1-template-16,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,8fa24eca6b06bda45f907bc7dcd66e3323eaaf2c234ce54c3a097adf9145b48a,executed_reference_runtime
cloud-A1-093,cloud,G1,A1,cloud-A1-template-17,true,reject,not_evaluated,reject,false,integrity elevation violates conservative propagation,b1a9c4e7fc6a9b022ee3910c8a1f98e87099b80b01b7d5e43f922d2df2d123f7,executed_reference_runtime
cloud-A1-094,cloud,G1,A1,cloud-A1-template-18,false,permit_benign,satisfied,permit_benign,false,attacker goal not selected,54f4573c72ad42371cacefb3b66072e49a66a167e465e11fbd53550aeba088e5,executed_reference_runtime
